author,content,cover,works
我,"小时候
想让时间快一点
跨过山
越过海
走遍茫茫星空
跑尽辽阔无垠
长大了
发现
时钟的每一次辗转
都暗示着别离",https://static.juzicon.com/contribute/image-a01b4f19-973c-4ecc-bd87-3d2949d7a422-200823231915-O3EB.jpeg,
奥斯卡・王尔德,我们都在阴沟里，但仍有人仰望星空。即使在最最黑暗的地方，也总有人灿若星辰，就如同月黑之夜的最后一道曙光，闪耀着人性的光芒。,https://static.juzicon.com/contribute/image-043129f6-87ae-4b8b-8ba2-0983b0e520ec-201221200552-J7IC.jpeg,
白槿湖,就算身在黑夜，也要知道，星空、太阳、月亮，始终都未曾离开过。我们看不见光明，但光明一直都在。,https://static.juzicon.com/imgs/burst/person-walks-towards-the-water-on-a-sandy-beach.jpg,《如果巴黎不快乐Ⅲ》
,"阴云苍穹遮落日，皓月星空绕云端。雨过天晴待黎明，旭日骄阳染虹装。",,
,"以前做梦，梦见满目星空。现在做梦，梦见满目空空。",,
董明珠,"当你站在山顶的时候,你的头上还有星空。",https://static.juzicon.com/contribute/image-cb1df2fc-f175-48eb-a16c-1d376f589036-200811114155-2INM.jpg,
,失恋的人不同，仰望星空却不约而同。,https://static.juzicon.com/contribute/image-289046a6-fd91-4bdd-93f6-798a8f250ecd-200814221958-2QVQ.jpeg,
,你眼里的星辰大海，是我不曾见过的皓月星空。,https://static.juzicon.com/contribute/image-f5d3f562-4c02-4b87-8237-29cbc510316c-200821210456-F23U.jpeg,
冰,"如果今晚的星空不够美丽就多是个别并笑物为明而成在替我想你如果今那出下了雨就多是我的思念汇成了泪滴",,《写能生你的诗》
,星空黯淡，仰望天地，不变的是我们那炳若日星的目光。,https://static.juzicon.com/contribute/image-9ddeafeb-deed-47ee-9765-2c7b19f025a6-190927103107-GG3O.jpg,
,"骑士融入了三千丈的星空，璀璨光辉无法汇成海盗心念之人的身影。
                   ——雷狮&安迷修",https://static.juzicon.com/contribute/image-9b6dc34a-0007-4d97-9b3a-154f4787e8ad-190928115247-THCR.jpeg,
,"这世上，
我只喜欢两样东西：星空和甄意一样是因为你
一样就是你



                              玖月晞《亲爱的弗洛伊德》",,
周国平,"一星陨落，黯淡不了星空灿烂， 一花凋零，荒芜不了整个春天。 人生要尽全力度过每一关，不管遇到什么困难不可轻言放弃。",https://static.juzicon.com/imgs/burst/fresh-snow-and-long-shadows.jpg,《直面苦难》
雨声,"我带着喜悦降世，我裹着悲伤离开
每个人都不孤独，每颗心都会死去
将灵魂染上色彩，组成星空的颜色
你说的孤独，那是什么？",,《我和我的过去》
